tag_unificado,cantidad,tags_agrupados
homicidio,523,homicidio (523)
juicio y condena,229,juicio y condena (229)
violencia armada,212,violencia armada (212)
femicidio,192,femicidio (192)
robo y entradera,151,robo y entradera (151)
muerte de menor,141,muerte de menor (141)
doble homicidio,118,doble homicidio (118)
crimen,116,Crimen (114) | crimenes (2)
desaparicion de persona,105,desaparicion de persona (105)
accidente vial fatal,101,accidente vial fatal (101)
abuso sexual,96,abuso sexual (79) | abuso sexual infantil (17)
muerte dudosa,89,muerte dudosa (89)
muerte,87,Muerte (87)
robo,74,Robo (73) | robos (1)
violencia de genero,68,violencia de genero (53) | Violencia de género (15)
narcotrafico,61,narcotrafico (60) | Narcotráfico (1)
santa fe,54,Santa Fe (54)
violencia intrafamiliar,53,violencia intrafamiliar (53)
fraude con dinero,46,fraude con dinero (46)
accidente,43,Accidente (43)
estafa,41,estafa (41)
juicio,37,juicio (37)
asesinato,31,Asesinato (31)
corrupcion policial,28,corrupcion policial (28)
choque,27,Choque (27)
ataque,25,ataque (25)
tiroteo,25,Tiroteo (25)
nene,24,nene (24)
policia,24,Policía (24)
escuela,21,Escuela (21)
cecilia strzyzowski,20,Cecilia Strzyzowski (20)
delito en el exterior,19,delito en el exterior (19)
adiccion al juego,18,adiccion al juego (18)
desaparecida,18,desaparecida (18)
muerto,17,muerto (17)
allanamiento,16,allanamiento (16)
violencia,16,Violencia (16)
reclamo de justicia,15,reclamo de justicia (15)
consumo de sustancias,14,consumo de sustancias (14)
desaparicion,14,desaparicion (14)
fernando baez sosa,14,fernando baez sosa (14)
suicidio,14,suicidio (14)
tragedia,14,tragedia (14)
diego maradona,13,Diego Maradona (13)
joven,13,joven (13)
muerte por intoxicacion,13,muerte por intoxicacion (13)
investigacion,12,investigacion (12)
pelea,12,Pelea (12)
justicia,11,Justicia (11)
maltrato infantil,11,maltrato infantil (11)
agresion,10,Agresión (10)
bala perdida,10,bala perdida (10)
desaparecido,10,Desaparecido (10)
fentanilo,10,fentanilo (10)
filicidio,10,Filicidio (10)
hotel,10,hotel (10)
rugbiers,10,Rugbiers (10)
abuso,9,abuso (9)
asesinado,9,asesinado (9)
detenido,9,detenido (9)
jury,9,jury (9)
medicamentos,9,Medicamentos (9)
boliche,8,boliche (8)
denuncia,8,denuncia (8)
jubilados,8,Jubilados (8)
lucas pertossi,8,Lucas Pertossi (8)
moto,8,moto (8)
muertos,8,Muertos (8)
nena,8,nena (8)
nene muerto,8,nene muerto (8)
pareja,8,Pareja (8)
trata de personas,8,trata de personas (8)
adolescentes,7,Adolescentes (7)
colegio,7,colegio (7)
detenidos,7,detenidos (7)
incendio,7,Incendio (7)
misterio,7,misterio (7)
motochorros,7,Motochorros (7)
profugo,7,Prófugo (7)
triple crimen,7,triple crimen (7)
amenazas,6,amenazas (6)
bebe,6,Bebe (6)
carnaval,6,carnaval (6)
detencion,6,Detención (6)
disparo,6,disparo (6)
golpes,6,golpes (6)
golpiza,6,golpiza (6)
juicio politco,6,juicio polítco (6)
nora dalmasso,6,Nora dalmasso (6)
temporal y tragedia,6,temporal y tragedia (6)
adolescente desaparecida,5,adolescente desaparecida (5)
angel,5,Ángel (5)
arma,5,arma (5)
atropello y mato,5,atropelló y mató (5)
drogas,5,Drogas (5)
empresario,5,empresario (5)
enfermero,5,enfermero (5)
gitana,5,gitana (5)
inseguridad,5,Inseguridad (5)
muerte accidental,5,muerte accidental (5)
navidad,5,Navidad (5)
policia de la ciudad,5,policia de la ciudad (5)
profesor,5,profesor (5)
secuestro,5,secuestro (5)
tiktok,5,TikTok (5)
apunalada,4,apuñalada (4)
bar,4,bar (4)
bastian,4,bastian (4)
busqueda,4,busqueda (4)
camionero,4,Camionero (4)
chico asesinado,4,chico asesinado (4)
condena,4,condena (4)
degollada,4,degollada (4)
detenida,4,Detenida (4)
disparos,4,disparos (4)
explotacion sexual,4,explotación sexual (4)
fiesta de egresados,4,fiesta de egresados (4)
hockey,4,Hockey (4)
la toretto,4,La Toretto (4)
micro,4,micro (4)
muerta,4,muerta (4)
nena desaparecida,4,nena desaparecida (4)
nenes,4,nenes (4)
patota,4,patota (4)
tiros,4,tiros (4)
tren roca,4,tren roca (4)
turistas,4,Turistas (4)
aerolineas argentinas,3,Aerolíneas Argentinas (3)
amenaza,3,amenaza (3)
anestesistas,3,anestesistas (3)
atropello,3,atropello (3)
auto,3,auto (3)
autopsia,3,Autopsia (3)
beba,3,beba (3)
bebe muerto,3,bebé muerto (3)
bicicleta,3,bicicleta (3)
canuelas,3,cañuelas (3)
carcel,3,Cárcel (3)
casa rodante,3,casa rodante (3)
cita,3,cita (3)
colectivo,3,Colectivo (3)
cuerpo,3,cuerpo (3)
cuota alimentaria,3,cuota alimentaria (3)
declaracion,3,declaracion (3)
delincuente,3,delincuente (3)
delincuentes,3,delincuentes (3)
desaparecidos,3,desaparecidos (3)
droga,3,droga (3)
estados alterados,3,estados alterados (3)
estudiante,3,estudiante (3)
fiscales,3,fiscales (3)
hallazgo,3,hallazgo (3)
hombre,3,hombre (3)
hospitales,3,hospitales (3)
intento de femicidio,3,Intento de femicidio (3)
libertad,3,Libertad (3)
madre,3,madre (3)
madre e hijo,3,madre e hijo (3)
modelo,3,Modelo (3)
motociclista,3,motociclista (3)
mujer,3,mujer (3)
murga,3,murga (3)
neurologo,3,neurólogo (3)
padre,3,padre (3)
paliza,3,paliza (3)
peluquera,3,peluquera (3)
persecucion,3,persecucion (3)
polemica,3,polémica (3)
policia federal,3,Policía Federal (3)
policiales,3,policiales (3)
policias,3,policias (3)
pool party,3,Pool Party (3)
preso,3,preso (3)
recompensa,3,recompensa (3)
secta,3,secta (3)
soldado,3,Soldado (3)
tiroteo en la escuela,3,Tiroteo en la escuela (3)
abuso infantil,2,Abuso infantil (2)
acusado,2,acusado (2)
acusados,2,acusados (2)
adolescente asesinada,2,Adolescente asesinada (2)
anestesista,2,anestesista (2)
animales,2,Animales (2)
apuestas ilegales,2,Apuestas ilegales (2)
apunalado,2,apuñalado (2)
armado,2,armado (2)
arroyo,2,arroyo (2)
asesino serial,2,asesino serial (2)
atropellado,2,atropellado (2)
audio,2,audio (2)
autos,2,Autos (2)
balacera,2,balacera (2)
buceo,2,buceo (2)
cadaver,2,Cadáver (2)
camion,2,camion (2)
cantante,2,cantante (2)
captura internacional,2,captura internacional (2)
carta,2,carta (2)
casino,2,casino (2)
cocaina,2,cocaina (2)
colectivos,2,colectivos (2)
comisaria,2,comisaria (2)
corrupcion de menores,2,corrupcion de menores (2)
corsos,2,Corsos (2)
country,2,country (2)
devoto,2,devoto (2)
dinero,2,dinero (2)
dolares,2,Dólares (2)
estafa piramidal,2,estafa piramidal (2)
estafas,2,estafas (2)
explosion,2,Explosión (2)
extorsion,2,extorsion (2)
falsa medica,2,falsa médica (2)
familia,2,Familia (2)
fiesta,2,fiesta (2)
fiestas clandestinas,2,Fiestas clandestinas (2)
fuego,2,fuego (2)
fuga,2,Fuga (2)
fuga de gas,2,fuga de gas (2)
gran hermano,2,gran hermano (2)
helicoptero,2,Helicóptero (2)
hermano,2,hermano (2)
hermanos,2,hermanos (2)
hija,2,hija (2)
hijo,2,hijo (2)
influencer,2,influencer (2)
intento de robo,2,intento de robo (2)
intoxicacion,2,intoxicación (2)
inversiones,2,inversiones (2)
jubiladas,2,jubiladas (2)
jugadores,2,Jugadores (2)
la banda del millon,2,la banda del millon (2)
lancha,2,lancha (2)
loan danilo pena,2,Loan Danilo Peña (2)
mama,2,mama (2)
masacre escolar,2,masacre escolar (2)
matrimonio,2,Matrimonio (2)
melchor rodrigo,2,Melchor Rodrigo (2)
menores,2,menores (2)
mujer baleada,2,mujer baleada (2)
mujer desaparecida,2,mujer desaparecida (2)
ninera,2,niñera (2)
novio,2,novio (2)
peluqueria,2,peluquería (2)
peluquero,2,peluquero (2)
pericia,2,Pericia (2)
prision preventiva,2,prisión preventiva (2)
prostibulo,2,prostibulo (2)
protesta,2,Protesta (2)
psiquiatra,2,psiquiatra (2)
punaladas,2,puñaladas (2)
racismo,2,Racismo (2)
